Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF/6V","R_0603_1608Metric",174.625000,-82.550000,180.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",111.625000,-55.880000,-90.000000,top
"J2","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",170.180000,-71.135000,0.000000,top
"J3","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",157.480000,-68.580000,0.000000,top
"J4","Conn_01x01_Male","PinHeader_1x01_P2.54mm_Vertical",156.210000,-53.340000,0.000000,top
"J5","Conn_01x01","PinHeader_1x01_P2.54mm_Vertical",162.560000,-68.580000,0.000000,top
"J6","Conn_02x05","PinHeader_2x05_P2.54mm_Vertical",189.865000,-82.550000,-90.000000,top
"J7","Conn_02x05","PinHeader_2x05_P2.54mm_Vertical",167.640000,-54.610000,0.000000,top
"J8","AudioJack4","Jack_3.5mm_PJ320D_Horizontal",186.630000,-72.390000,180.000000,top
"J9","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",187.960000,-57.150000,-90.000000,top
"J10","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",176.530000,-71.115000,0.000000,top
"PS1","Alim RS PRO 5V 1A","Converter_ACDC_MeanWell_IRM-03-xx_THT",120.015000,-78.597500,90.000000,top
"Q1","CJ2302","SOT-23",156.512500,-59.951250,180.000000,top
"R1","470KΩ","R_0603_1608Metric",174.625000,-78.740000,180.000000,top
"R2","470KΩ","R_0603_1608Metric",174.625000,-80.645000,0.000000,top
"R3","10KΩ","R_0603_1608Metric",156.512500,-63.126250,180.000000,top
"R4","1KΩ","R_0603_1608Metric",173.355000,-72.390000,90.000000,top
"R5","10KΩ","R_0603_1608Metric",156.512500,-56.776250,0.000000,top
"R6","220Ω/0.5W","R_0805_2012Metric",189.865000,-90.170000,90.000000,top
"R7","150Ω/0.5W","R_0805_2012Metric",187.325000,-90.170000,90.000000,top
"R8","120Ω/0.5W","R_0805_2012Metric",184.785000,-90.170000,90.000000,top
"R9","75Ω/0.5W","R_0805_2012Metric",182.245000,-90.170000,90.000000,top
"R10","33Ω/0.5W","R_0805_2012Metric",179.705000,-90.170000,90.000000,top
"R11","1KΩ","R_0603_1608Metric",178.880000,-54.610000,180.000000,top
"R12","1.2KΩ","R_0603_1608Metric",178.880000,-57.150000,180.000000,top
"R13","2KΩ","R_0603_1608Metric",178.880000,-59.690000,180.000000,top
"R14","3.3KΩ","R_0603_1608Metric",178.880000,-62.230000,180.000000,top
"R15","4.7KΩ","R_0603_1608Metric",178.880000,-64.770000,180.000000,top
"U1","ESP32-POE","ESP32-POE",149.225000,-102.235000,-90.000000,top
"U2","MCP3208","SOIC-16_3.9x9.9mm_P1.27mm",161.290000,-78.105000,0.000000,top
"U3","LTV-814","SMDIP-4_W7.62mm",161.925000,-59.690000,-90.000000,top
