Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"R3","33KΩ/0.5W","R_0805_2012Metric",133.453500,-78.740000,0.000000,top
"R4","10KΩ","R_0603_1608Metric",127.603500,-55.213500,90.000000,top
"R7","330Ω","R_0603_1608Metric",156.821500,-52.070000,90.000000,top
"R11","10KΩ","R_0603_1608Metric",127.701000,-65.024000,90.000000,top
"R14","330Ω","R_0603_1608Metric",156.821500,-61.976000,90.000000,top
"R18","10KΩ","R_0603_1608Metric",127.701000,-74.676000,90.000000,top
"R21","330Ω","R_0603_1608Metric",156.972000,-71.985500,90.000000,top
"R25","10KΩ","R_0603_1608Metric",127.701000,-84.328000,90.000000,top
"R28","330Ω","R_0603_1608Metric",156.972000,-81.891500,90.000000,top
"R32","10KΩ","R_0603_1608Metric",127.762000,-113.284000,90.000000,top
"R35","330Ω","R_0603_1608Metric",156.972000,-141.224000,90.000000,top
"R39","10KΩ","R_0603_1608Metric",127.762000,-122.936000,90.000000,top
"R42","330Ω","R_0603_1608Metric",156.972000,-131.318000,90.000000,top
"R46","10KΩ","R_0603_1608Metric",127.762000,-132.588000,90.000000,top
"R49","330Ω","R_0603_1608Metric",156.972000,-121.515500,90.000000,top
"R53","10KΩ","R_0603_1608Metric",127.762000,-142.240000,90.000000,top
"R56","330Ω","R_0603_1608Metric",156.972000,-111.609500,90.000000,top
"R60","10KΩ","R_0603_1608Metric",127.762000,-93.980000,90.000000,top
"R63","330Ω","R_0603_1608Metric",156.972000,-101.600000,90.000000,top
"R67","10KΩ","R_0603_1608Metric",127.762000,-103.632000,90.000000,top
"R70","330Ω","R_0603_1608Metric",156.972000,-91.694000,90.000000,top
"U1","Pico","RPI_Pico_pinout",142.748000,-110.490000,0.000000,top
"U2","H11AA1","SMDIP-6_W9.53mm",141.732000,-78.740000,0.000000,top
"U3","H11AA1","SMDIP-6_W9.53mm",120.237500,-56.737500,0.000000,top
"U4","4N35","SMDIP-6_W7.62mm",163.171500,-54.610000,0.000000,top
"U5","H11AA1","SMDIP-6_W9.53mm",120.335000,-66.548000,0.000000,top
"U6","4N35","SMDIP-6_W7.62mm",163.171500,-64.516000,0.000000,top
"U7","H11AA1","SMDIP-6_W9.53mm",120.335000,-76.200000,0.000000,top
"U8","4N35","SMDIP-6_W7.62mm",163.322000,-74.525500,0.000000,top
"U9","H11AA1","SMDIP-6_W9.53mm",120.335000,-85.852000,0.000000,top
"U10","4N35","SMDIP-6_W7.62mm",163.322000,-84.431500,0.000000,top
"U11","H11AA1","SMDIP-6_W9.53mm",120.396000,-114.808000,0.000000,top
"U12","4N35","SMDIP-6_W7.62mm",163.322000,-143.764000,0.000000,top
"U13","H11AA1","SMDIP-6_W9.53mm",120.396000,-124.460000,0.000000,top
"U14","4N35","SMDIP-6_W7.62mm",163.322000,-133.858000,0.000000,top
"U15","H11AA1","SMDIP-6_W9.53mm",120.396000,-134.112000,0.000000,top
"U16","4N35","SMDIP-6_W7.62mm",163.322000,-124.055500,0.000000,top
"U17","H11AA1","SMDIP-6_W9.53mm",120.396000,-143.764000,0.000000,top
"U18","4N35","SMDIP-6_W7.62mm",163.322000,-114.149500,0.000000,top
"U19","H11AA1","SMDIP-6_W9.53mm",120.396000,-95.504000,0.000000,top
"U20","4N35","SMDIP-6_W7.62mm",163.322000,-104.140000,0.000000,top
"U21","H11AA1","SMDIP-6_W9.53mm",120.396000,-105.156000,0.000000,top
"U22","4N35","SMDIP-6_W7.62mm",163.322000,-94.234000,0.000000,top
