Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","2.2uF/63V","C_1206_3216Metric",157.365000,-87.630000,90.000000,top
"D1","4* 1N5408","Diode_Bridge_Diotec_SO-DIL-Slim",174.255000,-71.120000,0.000000,top
"D2","10V/0.4W","D_SOD-123",160.540000,-87.630000,90.000000,top
"D3","1N4007","D_SMA",159.905000,-99.060000,-90.000000,top
"J1","Conn_01x07_Male","PinHeader_1x07_P2.54mm_Vertical",111.125000,-95.250000,0.000000,top
"J2","Screw_Terminal_01x04","TerminalBlock_bornier-4_P5.08mm",187.125000,-73.660000,90.000000,top
"J3","Screw_Terminal_01x04","TerminalBlock_bornier-4_P5.08mm",187.125000,-99.060000,90.000000,top
"J4","Screw_Terminal_01x02","TerminalBlock_bornier-2_P5.08mm",187.125000,-114.300000,90.000000,top
"PS1","HLK-PM12","Converter_ACDC_HiLink_HLK-PMxx",159.342500,-66.000000,180.000000,top
"Q1","IRF830","TO-263-3_TabPin2",171.885000,-58.420000,0.000000,top
"Q2","IRF830","TO-263-3_TabPin2",173.040000,-97.155000,0.000000,top
"Q3","IRF830","TO-263-3_TabPin2",173.040000,-85.090000,0.000000,top
"R1","330Ω","R_0603_1608Metric",116.205000,-100.330000,180.000000,top
"R2","330Ω","R_0603_1608Metric",116.205000,-105.410000,180.000000,top
"R3","10KΩ","R_0603_1608Metric",116.205000,-102.870000,0.000000,top
"R4","10KΩ","R_0603_1608Metric",116.205000,-107.950000,0.000000,top
"R5","10KΩ","R_0603_1608Metric",116.205000,-110.490000,0.000000,top
"R6","22KΩ","R_0603_1608Metric",124.460000,-70.420000,-90.000000,top
"R7","22KΩ","R_0603_1608Metric",161.620000,-83.185000,180.000000,top
"R8","33KΩ/0.5W","R_0805_2012Metric",124.460000,-60.960000,-90.000000,top
"R9","33KΩ/0.5W","R_0805_2012Metric",124.460000,-55.880000,-90.000000,top
"R10","33KΩ/0.5W","R_0805_2012Metric",158.000000,-83.185000,180.000000,top
"R11","33KΩ/0.5W","R_0805_2012Metric",158.000000,-80.010000,180.000000,top
"R12","33KΩ/0.5W","R_0805_2012Metric",179.427500,-114.300000,180.000000,top
"R13","33KΩ/0.5W","R_0805_2012Metric",179.427500,-109.220000,180.000000,top
"R14","33KΩ/0.5W","R_0805_2012Metric",159.905000,-91.440000,180.000000,top
"R15","33KΩ/0.5W","R_0805_2012Metric",159.905000,-93.980000,0.000000,top
"U2","4N35","SMDIP-6_W7.62mm",116.840000,-68.580000,0.000000,top
"U3","4N35","SMDIP-6_W7.62mm",149.745000,-94.615000,0.000000,top
"U4","H11AA1","SMDIP-6_W9.53mm",116.840000,-58.420000,180.000000,top
"U5","H11AA1","SMDIP-6_W9.53mm",149.745000,-83.185000,180.000000,top
"U6","H11AA1","SMDIP-6_W9.53mm",170.180000,-111.760000,180.000000,top
